1261427,"Resat Onur Coskunses, Türkiye",UTC,2024-12-09,17:00:00,,Diyarbakir Stadium,Diyarbakir,90,12,204,1. Lig,2024,Regular Season - 15,3579,Amed,3613,Şanlıurfaspor,2,1,1,1,,,,
1306163,,UTC,2024-12-09,17:00:00,20023,Stade Cheikha Ould Boïdiya,Nouakchott,90,7,762,Premier League,2024,Regular Season - 10,20470,Gendrim,20469,Chemal,0,2,0,0,,,,
1311964,,UTC,2024-12-09,17:00:00,,Bet Shemesh Stadium,Bet Shemesh,,,384,State Cup,2024,4th Round (Liga Bet),22856,Ironi Beit Shemesh,22335,Hapoel Segev Shalom,,,,,,,,
1214970,,UTC,2024-12-09,17:45:00,11941,Netanya Stadium,Netanya,90,11,383,Ligat Ha'al,2024,Regular Season - 13,4500,Hapoel Hadera,6186,Maccabi Bnei Raina,2,1,1,0,,,,
1316535,,UTC,2024-12-09,17:45:00,,,,,,1068,FA Youth Cup,2024,3rd Round,23180,Leyton Orient U18,23160,AFC Fylde U18,,,,,,,,
1203105,"Piotr Lasyk, Poland",UTC,2024-12-09,18:00:00,21189,Stadion Miejski,Kielce,90,4,106,Ekstraklasa,2024,Regular Season - 18,346,Korona Kielce,348,Pogon Szczecin,0,0,0,0,,,,
1206968,,UTC,2024-12-09,18:00:00,12602,Stadion Miejski LKS Lodz,Łódź,90,7,107,I Liga,2024,Regular Season - 19,3498,ŁKS Łódź,344,Arka Gdynia,0,2,0,0,,,,
1214976,,UTC,2024-12-09,18:00:00,3407,Green Stadium,Nazareth Illit,90,11,383,Ligat Ha'al,2024,Regular Season - 13,6181,Ironi Tiberias,4505,Maccabi Netanya,2,3,2,1,,,,
1320838,,UTC,2024-12-09,18:00:00,3421,Stade Robert Champroux,Abidjan,90,4,386,Ligue 1,2024,Regular Season - 13,4514,Africa Sports,18179,Korhogo,1,1,0,1,,,,
1214974,,UTC,2024-12-09,18:30:00,,Yaakov Turner Toto Stadium,Be'er Sheva,90,2,383,Ligat Ha'al,2024,Regular Season - 13,563,Hapoel Beer Sheva,657,Beitar Jerusalem,4,1,3,0,,,,
1220384,"Andrei Florin Chivulete, Romania",UTC,2024-12-09,18:30:00,1913,Cluj Arena,Cluj-Napoca,90,6,283,Liga I,2024,Regular Season - 19,2599,Universitatea Cluj,2246,CFR 1907 Cluj,3,2,0,1,,,,
